modularity_class,Degree_mean,Degree_var,betweenesscentrality_mean,betweenesscentrality_var,clusteringcoefficient_mean,clusteringcoefficient_var,communitysize
719,2,0,0,0,0,0,2321
720,2,1,0.333333333,0.333333333,0,0,2323
721,1.6,1.8,0,0,0,0,2324
722,2,0,0,0,0,0,2325
723,2,0,0,0,0,0,2328
724,1.333333333,0.333333333,0,0,0,0,2330
725,1,0,0,0,0,0,2333
726,1,0,0,0,0,0,2345
727,1,0,0,0,0,0,2348
728,1.333333333,0.333333333,0.333333333,0.333333333,0,0,613
729,1,0,0,0,0,0,2354
730,1,0,0,0,0,0,2360
731,2.666666667,1.333333333,0.666666667,1.333333333,0,0,2362
732,2,0,0,0,0,0,2366
733,1,0,0,0,0,0,2368
734,1,0,0,0,0,0,2369
735,1,0,0,0,0,0,2372
736,1,0,0,0,0,0,2382
737,2.5,3,1,4,0,0,982
738,2,0,0,0,0,0,2390
739,1.333333333,0.333333333,0,0,0,0,2392
740,1,0,0,0,0,0,2398
741,2,0,0,0,0,0,2410
742,1,0,0,0,0,0,2419
743,7.151955307,510.0730806,119787.1427,1.51E+12,0.072087314,0.0426611212,1286.786592
744,1,0,0,0,0,0,2422
745,1.5,0.333333333,0.25,0.25,0,0,2429
746,1,0,0,0,0,0,2435
747,2,0,0,0,0,0,2440
748,1,0,0,0,0,0,2443
749,1,0,0,0,0,0,2444
750,1,0,0,0,0,0,2446
751,1,0,0,0,0,0,2457
752,1,0,0,0,0,0,2460
753,2,0,0,0,0,0,2471
754,1,0,0,0,0,0,2474
755,2,0,0,0,0,0,2477
756,1,0,0,0,0,0,2478
757,1.333333333,0.333333333,0,0,0,0,2482
758,1,0,0,0,0,0,2498
759,1,0,0,0,0,0,2501
760,1,0,0,0,0,0,2506
761,2,0,0,0,0,0,2508
762,2,1,0.333333333,0.333333333,0,0,2100
763,1,0,0,0,0,0,2513
764,2,0,0,0,0,0,2516
765,1.5,1,0.5,1,0,0,2217
766,3.2,7.2,2.4,28.8,0,0,2519
767,2,0,0,0,0,0,2527
768,2,0,0,0,0,0,2536
769,1,0,0,0,0,0,2537
770,1,0,0,0,0,0,2538
771,2,0,0,0,0,0,2539
772,1,0,0,0,0,0,2540
773,2,0,0,0,0,0,2542
774,1,0,0,0,0,0,2544
775,2,0,0,0,0,0,2548
776,1,0,0,0,0,0,2549
777,1,0,0,0,0,0,2550
778,2.666666667,1.333333333,0.666666667,1.333333333,0,0,1601
779,2,0,0,0,0,0,2551
780,1,0,0,0,0,0,2552
781,2,0,0,0,0,0,2553
782,1,0,0,0,0,0,2555
783,2,0,0,0,0,0,2556
784,2,0,0,0,0,0,2557
785,1,0,0,0,0,0,2558
786,2,1,0.333333333,0.333333333,0,0,2674
787,2,0,0,0,0,0,2559
788,1,0,0,0,0,0,2561
789,2,0,0,0,0,0,2562
790,1,0,0,0,0,0,2563
791,1,0,0,0,0,0,2564
792,1.333333333,0.333333333,0.333333333,0.333333333,0,0,488
793,1,0,0,0,0,0,2565
794,2,0,0,0,0,0,2566
795,2,1,0.333333333,0.333333333,0,0,2567
796,1,0,0,0,0,0,2568
797,1,0,0,0,0,0,2569
798,1,0,0,0,0,0,2570
799,1,0,0,0,0,0,2571
800,1,0,0,0,0,0,2572
801,2,0,0,0,0,0,2573
802,2,0,0,0,0,0,2574
803,1,0,0,0,0,0,2575
804,1,0,0,0,0,0,2576
805,2,1,0.333333333,0.333333333,0,0,2601
806,1,0,0,0,0,0,2577
807,1,0,0,0,0,0,2579
808,2,0,0,0,0,0,2580
809,1,0,0,0,0,0,2581
810,2,0,0,0,0,0,2582
811,2,1,0.333333333,0.333333333,0,0,1071
812,1,0,0,0,0,0,2583
813,1,0,0,0,0,0,2584
814,2.153846154,5.474358974,0.384615385,1.256410256,0,0,2505
815,1,0,0,0,0,0,2585
816,2,2,0.5,1,0,0,693
817,1,0,0,0,0,0,2586
818,2,0,0,0,0,0,2587
